,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,2004,1,1,42.36363636363637,41.27272727272727,39.63636363636363,36.27272727272727,34.63636363636363,34.72727272727273,32.63636363636363,31.454545454545453,32.45454545454545,38.81818181818182,45.90909090909091,50.63636363636363,54.18181818181818,55.72727272727273,56.72727272727273,57.09090909090909,55.36363636363637,50.45454545454545,44.72727272727273,41.54545454545455,40.27272727272727,38.72727272727273,39.90909090909091,40.63636363636363
1,2004,1,2,41.54545454545455,42.18181818181818,43.45454545454545,44.36363636363637,45.09090909090909,44.90909090909091,45.36363636363637,45.09090909090909,45.45454545454545,45.90909090909091,47.45454545454545,49.36363636363637,50.72727272727273,52.81818181818182,54.18181818181818,55.81818181818182,56.18181818181818,52.81818181818182,49.36363636363637,47.72727272727273,46.36363636363637,45.36363636363637,46.18181818181818,45.90909090909091
2,2004,1,3,45.81818181818182,46.81818181818182,45.81818181818182,45.72727272727273,45.54545454545455,45.27272727272727,45.72727272727273,46.36363636363637,47.72727272727273,51.63636363636363,56.54545454545455,61.0,66.0909090909091,68.9090909090909,70.54545454545455,70.72727272727273,69.36363636363636,66.45454545454545,63.45454545454545,62.18181818181818,61.36363636363637,61.36363636363637,61.09090909090909,60.81818181818182
3,2004,1,4,61.0,60.45454545454545,60.54545454545455,60.63636363636363,60.09090909090909,60.09090909090909,59.81818181818182,59.72727272727273,59.63636363636363,61.27272727272727,63.36363636363637,66.27272727272727,68.54545454545455,69.27272727272727,69.18181818181819,69.0909090909091,68.18181818181819,66.18181818181819,63.72727272727273,62.09090909090909,60.09090909090909,58.54545454545455,58.90909090909091,58.36363636363637
4,2004,1,5,58.54545454545455,57.81818181818182,57.72727272727273,57.81818181818182,57.90909090909091,58.18181818181818,57.90909090909091,58.27272727272727,57.0,57.81818181818182,58.0,58.09090909090909,58.27272727272727,58.45454545454545,57.90909090909091,57.90909090909091,57.63636363636363,56.27272727272727,54.54545454545455,52.27272727272727,50.72727272727273,49.09090909090909,47.36363636363637,44.45454545454545
5,2004,1,6,43.18181818181818,42.54545454545455,40.72727272727273,39.90909090909091,38.27272727272727,37.27272727272727,36.0,34.90909090909091,34.72727272727273,37.18181818181818,39.63636363636363,40.63636363636363,41.81818181818182,41.90909090909091,41.90909090909091,41.90909090909091,40.36363636363637,37.09090909090909,35.18181818181818,33.18181818181818,30.727272727272727,29.09090909090909,27.363636363636363,26.363636363636363
6,2004,1,7,24.727272727272727,24.0,23.09090909090909,21.90909090909091,21.272727272727273,20.636363636363637,20.0,19.454545454545453,19.636363636363637,21.90909090909091,23.727272727272727,25.727272727272727,27.272727272727273,29.272727272727273,30.363636363636363,31.09090909090909,30.727272727272727,29.454545454545453,27.818181818181817,26.818181818181817,26.09090909090909,25.363636363636363,24.363636363636363,23.636363636363637
7,2004,1,8,23.181818181818183,23.636363636363637,22.818181818181817,22.272727272727273,22.545454545454547,22.363636363636363,22.09090909090909,20.90909090909091,21.636363636363637,26.09090909090909,30.0,32.63636363636363,33.63636363636363,34.36363636363637,34.72727272727273,34.81818181818182,34.81818181818182,33.90909090909091,32.27272727272727,31.545454545454547,30.818181818181817,30.545454545454547,30.272727272727273,30.272727272727273
8,2004,1,9,30.272727272727273,30.272727272727273,30.09090909090909,29.90909090909091,29.90909090909091,29.818181818181817,29.363636363636363,29.272727272727273,29.0,29.545454545454547,29.90909090909091,30.727272727272727,31.09090909090909,31.636363636363637,31.272727272727273,31.181818181818183,30.363636363636363,29.727272727272727,28.454545454545453,28.0,26.90909090909091,25.727272727272727,24.545454545454547,23.636363636363637
9,2004,1,10,21.90909090909091,20.454545454545453,18.90909090909091,16.90909090909091,15.818181818181818,15.181818181818182,14.363636363636363,13.272727272727273,12.909090909090908,12.909090909090908,14.818181818181818,16.727272727272727,18.363636363636363,19.818181818181817,20.90909090909091,21.363636363636363,21.09090909090909,20.181818181818183,17.818181818181817,15.818181818181818,14.454545454545455,13.363636363636363,12.636363636363637,11.727272727272727
